date,_id,author,title,keywords,intro,body,ressort
6. 8. 2020,3,3,3,3,3,3,3
7. 11. 2020,3,3,3,3,3,3,3
19. 10. 2020,4,4,4,4,4,4,4
29. 10. 2020,4,4,4,4,4,4,4
17. 10. 2020,4,4,4,4,4,4,4
20. 10. 2020,4,4,4,4,4,4,4
20. 9. 2020,4,4,4,4,4,4,4
14. 10. 2020,4,4,4,4,4,4,4
21. 9. 2020,4,4,4,4,4,4,4
24. 10. 2020,4,4,4,4,4,4,4
6. 9. 2020,4,4,4,4,4,4,4
13. 10. 2020,4,4,4,4,4,4,4
18. 9. 2020,5,5,5,5,5,5,5
7. 10. 2020,5,5,5,5,5,5,5
31. 10. 2020,5,5,5,5,5,5,5
30. 9. 2020,5,5,5,5,5,5,5
15. 9. 2020,5,5,5,5,5,5,5
21. 10. 2020,5,5,5,5,5,5,5
5. 10. 2020,6,6,6,6,6,6,6
13. 11. 2020,6,6,6,6,6,6,6
25. 10. 2020,6,6,6,6,6,6,6
31. 12. 2020,6,6,6,6,6,6,6
30. 10. 2020,7,7,7,7,7,7,7
8. 11. 2020,7,7,7,7,7,7,7
4. 11. 2020,7,7,7,7,7,7,7
6. 11. 2020,7,7,7,7,7,7,7
27. 10. 2020,7,7,7,7,7,7,7
14. 11. 2020,7,7,7,7,7,7,7
3. 11. 2020,8,8,8,8,8,8,8
2. 11. 2020,8,8,8,8,8,8,8
23. 9. 2020,8,8,8,8,8,8,8
28. 10. 2020,8,8,8,8,8,8,8
1. 11. 2020,9,9,9,9,9,9,9
11. 11. 2020,9,9,9,9,9,9,9
16. 11. 2020,9,9,9,9,9,9,9
26. 12. 2020,10,10,10,10,10,10,10
10. 11. 2020,10,10,10,10,10,10,10
9. 11. 2020,11,11,11,11,11,11,11
12. 11. 2020,11,11,11,11,11,11,11
26. 10. 2020,12,12,12,12,12,12,12
25. 12. 2020,12,12,12,12,12,12,12
15. 11. 2020,13,13,13,13,13,13,13
24. 12. 2020,14,14,14,14,14,14,14
21. 11. 2020,14,14,14,14,14,14,14
5. 12. 2020,18,18,18,18,18,18,18
19. 12. 2020,18,18,18,18,18,18,18
30. 12. 2020,19,19,19,19,19,19,19
12. 12. 2020,19,19,19,19,19,19,19
17. 11. 2020,20,20,20,20,20,20,20
18. 12. 2020,22,22,22,22,22,22,22
27. 12. 2020,22,22,22,22,22,22,22
6. 12. 2020,22,22,22,22,22,22,22
28. 11. 2020,24,24,24,24,24,24,24
23. 12. 2020,25,25,25,25,25,25,25
20. 12. 2020,26,26,26,26,26,26,26
20. 11. 2020,26,26,26,26,26,26,26
28. 12. 2020,27,27,27,27,27,27,27
22. 11. 2020,28,28,28,28,28,28,28
14. 12. 2020,30,30,30,30,30,30,30
22. 12. 2020,31,31,31,31,31,31,31
11. 12. 2020,31,31,31,31,31,31,31
15. 12. 2020,31,31,31,31,31,31,31
7. 12. 2020,31,31,31,31,31,31,31
19. 11. 2020,32,32,32,32,32,32,32
21. 12. 2020,32,32,32,32,32,32,32
25. 11. 2020,33,33,33,33,33,33,33
23. 11. 2020,34,34,34,34,34,34,34
13. 12. 2020,34,34,34,34,34,34,34
18. 11. 2020,35,35,35,35,35,35,35
4. 12. 2020,35,35,35,35,35,35,35
29. 11. 2020,35,35,35,35,35,35,35
8. 12. 2020,36,36,36,36,36,36,36
10. 12. 2020,36,36,36,36,36,36,36
24. 11. 2020,38,38,38,38,38,38,38
2. 12. 2020,39,39,39,39,39,39,39
17. 12. 2020,40,40,40,40,40,40,40
9. 12. 2020,40,40,40,40,40,40,40
29. 12. 2020,40,40,40,40,40,40,40
16. 12. 2020,40,40,40,40,40,40,40
30. 11. 2020,41,41,41,41,41,41,41
26. 11. 2020,42,42,42,42,42,42,42
27. 11. 2020,43,43,43,43,43,43,43
1. 12. 2020,45,45,45,45,45,45,45
3. 12. 2020,50,50,50,50,50,50,50
